remitente;destinatarios;asunto;cuerpo;fecha_hora;frecuencia_palabras_spam;reputacion_dominio_remitente;cantidad_destinatarios_visibles;presencia_y_numero_urls;relacion_texto_html;autenticidad_remitente;personalizacion_saludo;adjuntos_peligrosos;uso_simbolos_excesivos;scripts_o_formularios;etiqueta
ofertasdiarias@email.com;usuario14@example.com,usuario15@example.com,usuario16@example.com;¡Grandes Descuentos!;No se pierda nuestros descuentos. [enlace sospechoso];2024-07-31 09:45:00;3;sospechoso;3;2;0.2;Fail;1;1;2;1;SPAM
soportetecnico@soporte.com;usuario17@example.com;Contraseña Olvidada;Hemos recibido su solicitud de contraseña. [enlace seguro];2024-07-31 14:15:00;1;comun;1;1;0.9;Pass;0;0;1;0;HAM
promociones@empresaY.com;cliente4@empresaY.com,cliente5@empresaY.com;Nueva Promoción;Tenemos una nueva promoción para usted. ¡Aproveche!;2024-08-01 11:00:00;2;comun;2;1;0.7;Pass;0;0;1;0;HAM
superofertas@correo.co;usuario18@example.com,usuario19@example.com;¡Gane Dinero Fácil!;Gane dinero rápido y fácil. [enlace sospechoso].;2024-08-01 16:45:00;5;sospechoso;3;2;0.1;Fail;1;1;3;1;SPAM
correoimportante@banco.com;cliente6@banco.com;Transacción realizada;Se ha realizado una transacción en su cuenta. Revise los detalles.;2024-08-02 09:30:00;1;comun;1;0;0.8;Pass;0;0;1;0;HAM
ofertasincreibles@ganadinero.net;usuario20@example.com;¡Oferta Limitada!;No se pierda esta oferta limitada. [enlace sospechoso];2024-08-02 13:15:00;4;sospechoso;2;2;0.2;Fail;1;0;2;1;SPAM
notificaciones@servicio.com;usuario21@example.com;Recordatorio de cita;Este es un recordatorio para su cita de hoy.;2024-08-03 10:45:00;0;comun;1;0;0.9;Pass;0;0;0;0;HAM
ofertasflash@correo.com;usuario22@example.com,usuario23@example.com;¡Aproveche Ahora!;Oferta Flash por tiempo limitado. [enlace sospechoso];2024-08-03 15:20:00;3;sospechoso;3;1;0.2;Fail;1;0;2;1;SPAM
ganardinero@email.co;usuario24@example.com,usuario25@example.com;¡Riqueza Instantánea!;¡Gane dinero fácil y rápido!. [enlace sospechoso];2024-08-04 08:50:00;6;lista_negra;3;3;0.1;Fail;1;1;4;1;SPAM
soportecliente@empresaZ.com;cliente7@empresaZ.com;Estado de su pedido;Su pedido ha sido enviado. Haga seguimiento aquí: [enlace seguro];2024-08-04 12:30:00;0;comun;1;1;0.8;Pass;0;0;1;0;HAM
ofertasespeciales@promo.com;usuario26@example.com;¡Super Oferta!;No deje pasar esta super oferta!. [enlace sospechoso];2024-08-05 10:15:00;4;sospechoso;2;2;0.2;Fail;1;0;3;1;SPAM
actualizaciones@app.co;usuario27@example.com;Actualización de seguridad;Importante actualización de seguridad para su dispositivo.;2024-08-05 14:00:00;1;comun;1;1;0.9;Pass;0;0;1;0;HAM
ofertasonline@correo.net;usuario28@example.com,usuario29@example.com;¡Descuentos increíbles!;¡Aproveche nuestros descuentos increíbles!. [enlace sospechoso];2024-08-06 09:00:00;5;sospechoso;3;2;0.1;Fail;1;1;3;1;SPAM
remitenteconfiable@gmail.com;destinatario1@gmail.com;Reunion de Trabajo;Nos vemos mañana a las 10am en la oficina. Saludos,;2024-08-06 11:30:00;0;comun;1;0;0.9;Pass;0;0;0;0;HAM
remitente;destinatarios;asunto;cuerpo;fecha_hora;frecuencia_palabras_spam;reputacion_dominio_remitente;cantidad_destinatarios_visibles;presencia_y_numero_urls;relacion_texto_html;autenticidad_remitente;personalizacion_saludo;adjuntos_peligrosos;uso_simbolos_excesivos;scripts_o_formularios;etiqueta
OfertasIncreibles@ganadinero.com;usuario1@example.com,usuario2@example.com,usuario3@example.com;¡Gane Millones!;¡Felicidades! Ha ganado un premio.  Reclame aquí: [enlace sospechoso].;2024-07-26 10:30:00;5;sospechoso;3;2;0.2;Fail;1;1;10;1;SPAM
BancoPopular.colombia@email.net;cliente1@bancopopular.com.co;Actualización Seguridad;Estimado cliente, actualice sus datos en este enlace: [enlace sospechoso];2024-07-26 14:45:00;3;sospechoso;1;1;0.1;Fail;1;0;5;0;SPAM
ventas@megapremios.net;usuario4@example.com,usuario5@example.com;¡Premio Sorpresa!;Ha ganado un viaje a Cartagena. ¡Acepte aquí!: [enlace];2024-07-27 09:00:00;4;lista_negra;2;1;0.3;Fail;1;0;7;1;SPAM
info@empresa_legal.com.co;cliente@empresa.com.co;Re: Su consulta;Gracias por su consulta. Adjuntamos la información solicitada.;2024-07-27 11:15:00;1;comun;1;0;0.8;Pass;0;0;1;0;HAM
notificaciones@redsocial.com;usuario6@example.com;Actualización de perfil;Su perfil ha sido actualizado.  Consúltelo aquí: [enlace seguro];2024-07-27 15:30:00;0;comun;1;0;0.9;Pass;0;0;0;0;HAM
ofertas_especiales@correo.com.co;usuario7@example.com,usuario8@example.com;¡Oferta Exclusiva!;¡Aproveche esta increíble oferta! Compre ahora: [enlace sospechoso];2024-07-28 10:00:00;6;sospechoso;2;3;0.25;Fail;1;1;9;1;SPAM
servicioalcliente@empresa.com.co;cliente2@empresa.com.co;Solicitud de soporte;Lamentamos los inconvenientes. Adjunte información adicional para continuar.;2024-07-28 12:45:00;0;comun;1;0;0.95;Pass;0;0;1;0;HAM
ganadores@loteria.com;usuario9@example.com,usuario10@example.com;¡Felicitaciones!;Ha ganado un premio de $1,000,000!!! Reclámelo aquí: [enlace sospechoso];2024-07-29 08:15:00;8;lista_negra;3;2;0.1;Fail;1;1;12;1;SPAM
soporte@correo.com;usuario11@example.com;Problema con su cuenta;Por favor, revise su correo urgentemente.;2024-07-29 11:00:00;1;sospechoso;1;0;0.7;Neutral;1;0;2;0;SPAM
facturacion@empresa.com.co;cliente3@empresa.com.co;Factura No. 12345;Adjunta encontrará su factura correspondiente al mes de julio.;2024-07-29 13:30:00;0;comun;1;0;0.9;Pass;0;0;1;0;HAM
premios_instantaneos@email.com;usuario12@example.com;¡Gran Premio!;Gane un carro nuevo!!!;2024-07-30 09:45:00;7;lista_negra;1;1;0.15;Fail;1;0;11;1;SPAM
contacto@empresa.com.co;usuario13@example.com;Consulta de producto;Gracias por su consulta. Pronto lo contactaremos.;2024-07-30 14:15:00;1;comun;1;0;0.85;Pass;0;0;2;0;HAM
ofertas_irresistibles@correo.com;usuario14@example.com,usuario15@example.com;¡Oferta Limitada!;Última oportunidad para aprovechar!!!;2024-07-31 10:30:00;5;sospechoso;2;2;0.2;Fail;1;1;8;1;SPAM
informes@empresa.com.co;usuario16@example.com;Reporte Mensual;Aquí está el reporte del mes.;2024-07-31 16:00:00;0;comun;1;0;0.98;Pass;0;0;0;0;HAM
super_ofertas@email.com;usuario17@example.com;¡Gane un viaje!;Participe en nuestra rifa.;2024-08-01 09:00:00;4;sospechoso;1;1;0.3;Fail;1;0;6;1;SPAM
notificaciones@banco.com.co;cliente4@banco.com.co;Movimiento en su cuenta;Se ha registrado un nuevo movimiento en su cuenta.;2024-08-01 11:45:00;0;comun;1;0;0.99;Pass;0;0;0;0;HAM
ofertasincreibles@email.co;usuario18@example.com,usuario19@example.com;Gran premio;!!!Gane un millón!!!;2024-08-02 13:30:00;9;lista_negra;2;2;0.1;Fail;1;1;15;1;SPAM
promociones@empresa.com;usuario20@example.com;Nueva promoción;Aproveche nuestra nueva promoción.;2024-08-02 15:00:00;2;sospechoso;1;1;0.2;Fail;1;0;4;1;SPAM
soporte_tecnico@empresa.com;usuario21@example.com;Ayuda tecnica;Contacte nuestro soporte técnico para ayuda.;2024-08-03 10:15:00;1;comun;1;0;0.75;Pass;0;0;3;0;HAM
gana_dinero@email.net;usuario22@example.com,usuario23@example.com,usuario24@example.com;¡Dinero fácil!;Gane dinero fácil y rápido. ¡Inscríbase ahora!;2024-08-03 12:45:00;6;lista_negra;3;3;0.18;Fail;1;1;10;1;SPAM
noticias@empresa.com.co;usuario25@example.com;Boletín informativo;Aquí está el boletín informativo.;2024-08-04 09:30:00;0;comun;1;0;0.95;Pass;0;0;0;0;HAM
premios_garantizados@email.com;usuario26@example.com;¡Premio Mayor!;Has ganado un premio increíble!;2024-08-04 14:00:00;8;lista_negra;1;1;0.2;Fail;1;0;13;1;SPAM
ventas@empresa.com.co;cliente5@empresa.com.co;Pedido confirmado;Su pedido ha sido confirmado.;2024-08-05 11:15:00;0;comun;1;0;0.8;Pass;0;0;0;0;HAM
superoferta@email.com;usuario27@example.com,usuario28@example.com;Oferta imperdible;¡No lo deje pasar!;2024-08-05 16:45:00;4;sospechoso;2;2;0.25;Fail;1;1;7;1;SPAM
remitente@example.com;usuario1@example.com,usuario2@example.com;Oferta Increíble!;¡Gane un Millón de Pesos!;2024-03-08 10:30:00;5;sospechoso;2;1;0.2;Fail;1;1;10;1;SPAM
remite2@example.com;cliente@example.com;Factura N° 1234;Estimado cliente, adjunta factura.;2024-03-08 12:00:00;1;comun;1;0;0.8;Pass;0;0;1;0;HAM
oferta_increible@spam.com;usuario3@example.com,usuario4@example.com,usuario5@example.com;¡Gane un Carro!;¡Aproveche esta oportunidad única!;2024-03-08 14:15:00;7;lista_negra;3;2;0.1;Fail;1;1;5;1;SPAM
soporte@empresa.com;usuario6@example.com;Actualización Sistema;Estimado usuario, actualice su software.;2024-03-08 16:45:00;0;comun;1;0;0.9;Pass;0;0;0;0;HAM
ganagana@spam.net;usuario7@example.com,usuario8@example.com,usuario9@example.com,usuario10@example.com;¡Dinero Fácil!;¡Regístrese ahora y gane!;2024-03-09 09:00:00;8;sospechoso;4;3;0.05;Fail;1;1;8;1;SPAM
info@empresa.com;cliente2@example.com;Pedido Confirmado;Su pedido ha sido confirmado.;2024-03-09 11:30:00;0;comun;1;0;1.0;Pass;0;0;0;0;HAM
ofertas_colombia@spam.com;usuario11@example.com,usuario12@example.com;¡Gran Remate!;No pierda esta oportunidad;2024-03-09 13:45:00;6;lista_negra;2;1;0.1;Fail;1;1;7;1;SPAM
notificaciones@empresa.co;usuario13@example.com;Recordatorio Cita;Recuerda tu cita médica.;2024-03-09 15:20:00;1;comun;1;0;0.7;Pass;0;0;1;0;HAM
premio_millonario@spam.org;usuario14@example.com,usuario15@example.com,usuario16@example.com;¡Usted ganó!;¡Reclame su premio!;2024-03-10 08:50:00;9;lista_negra;3;2;0.08;Fail;1;1;12;1;SPAM
ventas@empresa.net;usuario17@example.com;Nueva Promoción;Aproveche nuestros descuentos.;2024-03-10 10:15:00;2;comun;1;1;0.9;Pass;0;0;2;0;HAM
ganardinero@spam.co;usuario18@example.com,usuario19@example.com;¡Riqueza Instantánea!;¡Invierta ahora!;2024-03-10 12:30:00;7;sospechoso;3;2;0.1;Fail;1;1;6;1;SPAM
servicio@empresa.com.co;usuario20@example.com;Solicitud Recibida;Gracias por su solicitud.;2024-03-10 14:45:00;0;comun;1;0;1.0;Pass;0;0;1;0;HAM
megaoferta@spam.net.co;usuario21@example.com,usuario22@example.com,usuario23@example.com;¡Última Oportunidad!;No lo deje pasar!;2024-03-11 09:20:00;8;lista_negra;3;3;0.02;Fail;1;1;9;1;SPAM
facturacion@empresa.com.co;cliente3@example.com;Su Factura;Adjunto su factura para pago.;2024-03-11 11:00:00;1;comun;1;0;0.8;Pass;0;0;1;0;HAM
oferta_unica@spam.com.co;usuario24@example.com,usuario25@example.com;¡Gane un Viaje!;Reserve ya!;2024-03-11 13:30:00;6;sospechoso;2;1;0.1;Fail;1;1;8;1;SPAM
notificaciones_sistema@empresa.co;usuario26@example.com;Actualización;El sistema ha sido actualizado.;2024-03-11 15:15:00;0;comun;1;0;0.9;Pass;0;0;0;0;HAM
ofertas_especiales@spam.com;usuario27@example.com,usuario28@example.com;¡Super Descuento!;Aproveche ahora!;2024-03-12 09:50:00;5;lista_negra;2;2;0.15;Fail;1;1;4;1;SPAM
soporte_tecnico@empresa.net;usuario29@example.com;Problema Resuelto;Su problema ha sido resuelto.;2024-03-12 11:25:00;0;comun;1;0;0.95;Pass;0;0;0;0;HAM
super_oferta@spam.org;usuario30@example.com,usuario31@example.com;¡Gane un iPhone!;Participe ahora!;2024-03-12 13:40:00;7;lista_negra;3;1;0.09;Fail;1;1;5;1;SPAM
pagos@empresa.com;usuario32@example.com;Pago Recibido;Su pago ha sido recibido.;2024-03-12 16:00:00;0;comun;1;0;1.0;Pass;0;0;0;0;HAM
ofertason@spam.co;usuario33@example.com,usuario34@example.com,usuario35@example.com;¡Millones de Pesos!;¡Inscríbase gratis!;2024-03-13 10:10:00;9;sospechoso;4;2;0.05;Fail;1;1;11;1;SPAM
envios@empresa.com.co;usuario36@example.com;Envio Confirmado;Su envio esta en camino.;2024-03-13 12:20:00;1;comun;1;0;0.85;Pass;0;0;2;0;HAM
premios_colombia@spam.net.co;usuario37@example.com,usuario38@example.com;¡Premio Mayor!;¡Usted es el ganador!;2024-03-13 14:35:00;8;lista_negra;3;3;0.03;Fail;1;1;7;1;SPAM
remitente_test@example.com;usuario39@example.com;Prueba de Email;Este es un correo de prueba;2024-03-13 16:50:00;0;comun;1;0;1.0;Pass;0;0;0;0;HAM
oferta_final@spam.com;usuario40@example.com,usuario41@example.com;¡No se lo Pierda!;Oferta limitada!;2024-03-14 10:00:00;6;sospechoso;2;1;0.2;Fail;1;1;6;1;SPAM
remitente;destinatarios;asunto;cuerpo;fecha_hora;frecuencia_palabras_spam;reputacion_dominio_remitente;cantidad_destinatarios_visibles;presencia_y_numero_urls;relacion_texto_html;autenticidad_remitente;personalizacion_saludo;adjuntos_peligrosos;uso_simbolos_excesivos;scripts_o_formularios;etiqueta
oferta_increible@ganamillones.com;usuario1@example.com,usuario2@example.com,usuario3@example.com;¡Gane un Millón!;¡Felicidades! Ha ganado un millón de pesos. Reclame su premio aquí: [enlace sospechoso];2024-07-26 10:30:00;5;sospechoso;3;2;0.2;Fail;1;1;3;1;SPAM
banco_colombia_oficial@no-reply.com;cliente@example.com;Actualización de su cuenta;Estimado cliente, actualice su información bancaria aquí: [enlace seguro];2024-07-26 12:15:00;1;comun;1;1;0.8;Pass;0;0;1;0;HAM
ganapremiorapido@aol.com;usuario4@example.com,usuario5@example.com;¡Premio instantáneo!;¡Ha ganado un premio! Haga clic aquí para reclamarlo: [enlace sospechoso];2024-07-26 14:45:00;4;sospechoso;2;3;0.1;Fail;1;1;2;1;SPAM
soporte_tecnico@microsoft.com;usuario6@example.com;Problema con su cuenta;Su cuenta de Microsoft presenta un problema. Haga clic aquí para solucionarlo: [enlace sospechoso];2024-07-26 16:00:00;3;sospechoso;1;1;0.3;Fail;1;0;2;0;SPAM
notificaciones@amazon.com.co;cliente2@example.com;Su pedido ha sido enviado;Su pedido de Amazon ha sido enviado. Puede rastrearlo aquí: [enlace seguro];2024-07-26 17:30:00;0;comun;1;1;0.9;Pass;0;0;0;0;HAM
ofertas_exclusivas@correo.com;usuario7@example.com,usuario8@example.com;¡Ofertas increíbles!;No se pierda estas ofertas exclusivas. Compre ahora: [enlace sospechoso];2024-07-27 09:00:00;6;lista_negra;5;4;0.1;Fail;1;1;4;1;SPAM
correo_importante@gov.co;ciudadano@example.com;Información importante;Estimado ciudadano, le informamos sobre...[enlace seguro];2024-07-27 11:45:00;1;comun;1;0;0.95;Pass;0;0;0;0;HAM
remitente_desconocido@example.net;usuario9@example.com,usuario10@example.com;Alerta importante;Su cuenta ha sido comprometida. Actúe ahora: [enlace sospechoso];2024-07-27 13:30:00;7;sospechoso;2;2;0.2;Fail;1;1;5;1;SPAM
amigo@gmail.com;amigo_cercano@example.com;Cita para almorzar;Te propongo almorzar el viernes. ¿Qué te parece?;2024-07-27 15:00:00;0;comun;1;0;0.9;Pass;0;0;0;0;HAM
ganadinero@hotmail.com;usuario11@example.com,usuario12@example.com;¡Dinero fácil!;Gane dinero rápidamente. ¡Inscríbase ahora!: [enlace sospechoso];2024-07-27 16:45:00;8;lista_negra;4;5;0.05;Fail;1;1;7;1;SPAM
notificacion_seguridad@bancolombia.com;cliente3@example.com;Actualización de contraseña;Estimado cliente, actualice su contraseña para mayor seguridad;2024-07-27 18:15:00;1;comun;1;1;0.8;Pass;0;0;1;0;HAM
correo_spam@example.org;usuario13@example.com,usuario14@example.com,usuario15@example.com;Oferta irresistible;Aproveche esta oferta irresistible. Adjunto catálogo;2024-07-28 10:00:00;4;sospechoso;3;1;0.1;Fail;1;1;4;1;SPAM
soporte_paypal@paypal.com.co;usuario16@example.com;Actividad sospechosa;Hemos detectado actividad sospechosa en su cuenta. Verifique aquí;2024-07-28 11:30:00;2;sospechoso;1;1;0.5;Fail;1;0;2;1;SPAM
facturacion@empresa_x.com;cliente4@example.com;Factura pendiente;Estimado cliente, su factura está pendiente. Descargue aquí;2024-07-28 13:00:00;0;comun;1;1;0.9;Pass;0;0;0;0;HAM
ofertas_increibles@promo.com;usuario17@example.com,usuario18@example.com;¡Gane un carro!;¡Ha ganado un carro! Reclame su premio aquí;2024-07-28 14:30:00;3;sospechoso;2;2;0.2;Fail;1;1;3;1;SPAM
invitacion_evento@evento.com;usuario19@example.com;Invitación a evento;Te invitamos a nuestro evento el sábado. Confirma tu asistencia;2024-07-28 16:00:00;0;comun;1;0;0.98;Pass;0;0;0;0;HAM
alerta_seguridad@seguridad.com;usuario20@example.com;Alerta de seguridad;Hemos detectado una amenaza en su dispositivo. Descargue la solución aquí;2024-07-28 17:30:00;5;sospechoso;1;1;0.3;Fail;1;1;2;1;SPAM
correo_amigo@outlook.com;amigo2@example.com;Feliz cumpleaños;Feliz cumpleaños, querido amigo;2024-07-29 09:00:00;0;comun;1;0;1.0;Pass;0;0;0;0;HAM
sorteo_millonario@sorteo.com;usuario21@example.com,usuario22@example.com,usuario23@example.com;¡Ha ganado el sorteo!;Felicidades, ha ganado un millón de pesos en nuestro sorteo;2024-07-29 10:30:00;6;lista_negra;3;3;0.1;Fail;1;1;5;1;SPAM
notificaciones@servicio_cliente.com;cliente5@example.com;Su solicitud ha sido procesada;Su solicitud ha sido procesada exitosamente. Puede consultar el estado aquí;2024-07-29 12:00:00;0;comun;1;1;0.8;Pass;0;0;0;0;HAM
oferta_unica@oferta.com;usuario24@example.com,usuario25@example.com;¡Última oportunidad!;No deje pasar esta oferta única. Compre ahora;2024-07-29 13:30:00;4;sospechoso;2;2;0.2;Fail;1;1;2;1;SPAM
informacion_importante@empresa_y.com;cliente6@example.com;Información sobre su pedido;Estimado cliente, información importante sobre su pedido reciente;2024-07-29 15:00:00;1;comun;1;1;0.9;Pass;0;0;0;0;HAM
correo_urgente@correo.net;usuario26@example.com;¡Acción requerida!;Se requiere su acción inmediata. Haga clic aquí;2024-07-29 16:30:00;3;sospechoso;1;1;0.4;Fail;1;1;1;1;SPAM
premio_garantizado@premios.com;usuario27@example.com,usuario28@example.com,usuario29@example.com;¡Premio garantizado!;¡Ha ganado un premio garantizado! Reclámelo ahora;2024-07-29 18:00:00;7;lista_negra;3;4;0.1;Fail;1;1;6;1;SPAM
correo_personal@gmail.com;amigo3@example.com;¿Vamos al cine?;¿Vamos al cine este fin de semana?;2024-07-30 10:00:00;0;comun;1;0;0.99;Pass;0;0;0;0;HAM
oferta_limitada@ofertas.com;usuario30@example.com;¡Oferta limitada!;No se pierda esta oferta limitada por tiempo limitado;2024-07-30 11:30:00;2;sospechoso;1;1;0.5;Fail;1;1;1;1;SPAM
remitente;destinatarios;asunto;cuerpo;fecha_hora;frecuencia_palabras_spam;reputacion_dominio_remitente;cantidad_destinatarios_visibles;presencia_y_numero_urls;relacion_texto_html;autenticidad_remitente;personalizacion_saludo;adjuntos_peligrosos;uso_simbolos_excesivos;scripts_o_formularios;etiqueta
banco_colombia@example.com;usuario1@example.com,usuario2@example.com,usuario3@example.com;¡Gane un premio!;¡Felicidades! Ha ganado un premio de $10.000.000. Reclame su premio aquí: [enlace sospechoso];2024-07-26 10:30:00;5;sospechoso;3;2;0.2;Fail;1;1;7;1;SPAM
oferta_increible@example.net;cliente1@example.com;Oferta Increíble;Aproveche nuestra oferta de crédito al 0% de interés. ¡Inscríbase ya!;2024-07-26 12:00:00;2;sospechoso;1;1;0.1;Fail;1;0;2;0;SPAM
ventas@empresa_x.com;gerente@example.com;Reunión importante;Estimado Gerente, adjunto la presentación para nuestra reunión de hoy. Saludos cordiales;2024-07-26 14:15:00;0;comun;1;0;0.8;Pass;0;0;0;0;HAM
ganador_loteria@example.org;usuario4@example.com,usuario5@example.com;¡Felicidades, ha ganado!;¡Usted es un ganador! Reciba su premio aquí: [enlace malicioso];2024-07-26 16:45:00;4;lista_negra;2;3;0.3;Fail;1;1;6;1;SPAM
info@empresa_y.co;cliente2@example.com;Actualización de pedido;Su pedido #12345 ha sido actualizado. Puede consultar el estado aquí: [enlace seguro];2024-07-27 09:00:00;0;comun;1;1;0.9;Pass;0;0;0;0;HAM
soporte_tecnico@example.com;usuario6@example.com;Problema con su cuenta;Detectamos actividad inusual en su cuenta. Ingrese aquí para verificar: [enlace fraudulento];2024-07-27 11:30:00;3;sospechoso;1;2;0.25;Fail;1;0;5;1;SPAM
notificaciones@app.com;usuario7@example.com;Nueva notificación;Tiene una nueva notificación en su aplicación.  Por favor revisa.;2024-07-27 13:45:00;0;comun;1;0;0.95;Pass;0;0;1;0;HAM
premio_millonario@example.net;usuario8@example.com,usuario9@example.com;¡Ha ganado un millón!;Ha ganado $1.000.000!!! Reclame su premio aquí: [enlace fraudulento];2024-07-27 15:00:00;6;lista_negra;2;1;0.15;Fail;1;1;8;1;SPAM
servicio_cliente@empresa_z.com;cliente3@example.com;Consulta sobre su pedido;Gracias por su compra.  Cualquier consulta, por favor contáctenos;2024-07-28 08:30:00;0;comun;1;0;0.85;Pass;0;0;1;0;HAM
oferta_exclusiva@example.org;usuario10@example.com,usuario11@example.com;Oferta Exclusiva;Aproveche esta oferta limitada. ¡Compre ya!;2024-07-28 10:45:00;3;sospechoso;2;2;0.2;Fail;1;1;4;0;SPAM
factura_electronica@example.com;cliente4@example.com;Factura #1234;Adjunta la factura #1234 para su revisión;2024-07-28 13:15:00;0;comun;1;0;1.0;Pass;0;0;0;0;HAM
correo_importante@example.net;usuario12@example.com;Información importante;Por favor lea este correo con atención;2024-07-28 16:00:00;1;comun;1;0;0.9;Pass;0;0;1;0;HAM
ganaste_un_carro@example.org;usuario13@example.com;¡Ganaste un carro!;¡Felicitaciones! Has ganado un carro nuevo. Reclámalo aquí: [enlace sospechoso];2024-07-29 09:30:00;5;lista_negra;3;2;0.1;Fail;1;1;7;1;SPAM
nuevo_trabajo@example.com;usuario14@example.com;Nueva Oportunidad Laboral;Se busca personal para nuevo proyecto.  Más información: [enlace legítimo];2024-07-29 11:00:00;0;comun;1;1;0.7;Pass;0;0;0;0;HAM
reembolso_dinero@example.net;usuario15@example.com,usuario16@example.com;Reembolso de dinero;Tiene un reembolso disponible, recójalo aquí: [enlace sospechoso];2024-07-29 14:45:00;4;sospechoso;2;1;0.3;Fail;1;1;6;1;SPAM
notificacion_sistema@example.com;usuario17@example.com;Actualización del sistema;El sistema se ha actualizado correctamente.;2024-07-29 17:15:00;0;comun;1;0;0.98;Pass;0;0;1;0;HAM
oferta_irresistible@example.org;usuario18@example.com;¡Oferta Irresistible!;¡No te pierdas esta increíble oferta! [enlace sospechoso];2024-07-30 10:00:00;3;sospechoso;1;2;0.18;Fail;1;1;4;1;SPAM
consulta_cuenta@example.com;cliente5@example.com;Actualización de su cuenta;Detalles de su cuenta bancaria: [enlace legítimo];2024-07-30 12:30:00;1;comun;1;1;0.88;Pass;0;0;2;0;HAM
premio_sorpresa@example.net;usuario19@example.com;¡Premio sorpresa!;Ha ganado un premio, recójalo aquí: [enlace fraudulento];2024-07-30 15:00:00;4;lista_negra;2;2;0.22;Fail;1;1;5;1;SPAM
pago_pendiente@example.com;cliente6@example.com;Pago pendiente;Tiene un pago pendiente.  Por favor verifique: [enlace seguro];2024-07-31 09:15:00;1;comun;1;1;0.92;Pass;0;0;1;0;HAM
oferta_limitada@example.org;usuario20@example.com,usuario21@example.com;Oferta limitada;¡Aprovecha esta oferta por tiempo limitado! [enlace sospechoso];2024-07-31 11:45:00;2;sospechoso;2;2;0.25;Fail;1;1;3;1;SPAM
confirmacion_pedido@example.com;cliente7@example.com;Confirmación de pedido;Su pedido ha sido confirmado. ¡Gracias!;2024-07-31 14:30:00;0;comun;1;0;0.99;Pass;0;0;0;0;HAM
atencion_cliente@empresa_a.com;cliente8@example.com;Información importante;Estimado cliente, le informamos sobre...;2024-08-01 09:00:00;0;comun;1;0;0.8;Pass;0;0;0;0;HAM
alerta_seguridad@example.net;usuario22@example.com;Alerta de seguridad;Se ha detectado una actividad sospechosa en su cuenta;2024-08-01 11:15:00;2;sospechoso;1;1;0.3;Fail;1;0;3;1;SPAM
reclamo_ganancia@example.com;usuario23@example.com;¡Reclame su premio!;¡Felicidades! Ha ganado un gran premio. Reclámelo aquí: [enlace sospechoso];2024-08-01 14:00:00;5;lista_negra;3;3;0.28;Fail;1;1;6;1;SPAM
